F/S/C,A-L,mm/dd/yyyy,mm/dd/yyyy,mm/dd/yyyy,Initials,"Dry masses (g), to 0.1",,,,,,
Plot,Trap,Date collected,Date sorted,Date entered,Entered by,Leaf-ACRU,Leaf-FAGR,Leaf-LITU,Leaf-Other,Woody,Reproductive,Notes
F,A,11/05/2020,09/02/2021,09/14/2021,AES,3.4,6.3,12.4,5.6,0.0,6.1,
F,B,11/05/2020,09/07/2021,09/14/2021,AES,3.6,9.0,15.9,6.2,18.2,4.7,
F,C,11/05/2020,09/07/2021,09/14/2021,AES,8.6,4.4,13.0,1.5,1.5,7.7,
F,D,11/05/2020,09/02/2021,09/14/2021,AES,6.4,6.9,15.0,3.6,2.2,4.3,
F,E,11/05/2020,09/02/2021,09/14/2021,AES,5.9,9.2,13.8,4.5,0.3,5.3,
F,F,11/05/2020,09/07/2021,09/14/2021,AES,3.6,6.1,14.8,2.2,0.7,5.9,
F,G,11/05/2020,09/07/2021,09/14/2021,AES,3.8,14.4,14.7,5.2,4.7,6.4,
F,H,11/05/2020,09/07/2021,09/14/2021,AES,2.4,18.2,7.4,8.0,1.1,6.5,
F,I,11/05/2020,09/02/2021,09/14/2021,AES,5.3,8.5,13.4,3.5,2.5,5.5,
F,J,11/05/2020,09/02/2021,09/14/2021,AES,5.3,12.7,9.3,0.5,80.5,6.5,
F,K,11/05/2020,09/07/2021,09/14/2021,AES,4.2,12.8,10.2,3.0,0.7,5.8,
F,L,11/05/2020,09/07/2021,10/21/2021,AES,5.2,7.4,11.4,3.1,1.9,5.4,
S,A,11/05/2020,09/22/2021,10/21/2021,AES,8.7,7.8,13.7,5.9,3.7,3.8,
S,B,11/05/2020,09/22/2021,10/21/2021,AES,11.8,14.4,16.4,2.9,0.0,4.7,
S,C,11/05/2020,09/22/2021,10/21/2021,AES,5.8,8.6,13.6,2.5,0.1,4.6,
S,D,11/05/2020,09/22/2021,10/21/2021,AES,4.8,14.1,20.3,5.5,6.1,5.7,
S,E,11/05/2020,09/22/2021,10/21/2021,AES,3.1,14.0,13.6,1.7,1.1,4.8,
S,F,11/05/2020,09/22/2021,10/21/2021,AES,7.5,17.6,12.4,4.2,0.1,5.4,
